cand_id,cand_name,spe_id,spe_nam,ele_type,can_office_state,can_office_dis,can_office,cand_pty_aff,exp_amo,exp_date,agg_amo,sup_opp,pur,pay,file_num,amndt_ind,tran_id,image_num,receipt_dat,fec_election_yr,prev_file_num,dissem_dt
"H6FL01390","PATRONIS, JIMMY","C00687103","Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action","S","FL","01","H","REPUBLICAN PARTY","7525","","88552.57","S","MAILER PRODUCTION","PRESSTIGE PRINTING","1862703","N","SE24.33393","202501119740130368","11-JAN-25","2026","","10-JAN-25"
"H6FL01390","PATRONIS, JIMMY","C00687103","Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action","S","FL","01","H","REPUBLICAN PARTY","57500","","59300","S","MEDIA PLACEMENT","IN PURSUIT OF LLC","1862204","N","SE24.33392","202501089740107848","08-JAN-25","2026","","06-JAN-25"
"H6FL01390","PATRONIS, JIMMY","C00687103","Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action","S","FL","01","H","REPUBLICAN PARTY","1404.3","13-JAN-25","101547.3","S","MAILER POSTAGE","UNITED STATES POSTAL SERVICE","1863375","N","SE24.33397","202501149740174583","14-JAN-25","2026","","13-JAN-25"
"H6FL01390","PATRONIS, JIMMY","C00687103","Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action","S","FL","01","H","REPUBLICAN PARTY","1578.3","","101547.3","S","MAILER PRODUCTION","PRESSTIGE PRINTING","1863375","N","SE24.33396","202501149740174582","14-JAN-25","2026","","13-JAN-25"
"H6FL01390","PATRONIS, JIMMY","C00687103","Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action","S","FL","01","H","REPUBLICAN PARTY","2512.13","","101547.3","S","DOORHANGER PRODUCTION","PRESSTIGE PRINTING","1863375","N","SE24.33398","202501149740174582","14-JAN-25","2026","","14-JAN-25"
"H6FL01390","PATRONIS, JIMMY","C00687103","Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action","S","FL","01","H","REPUBLICAN PARTY","7500","","101547.3","S","MEDIA PRODUCTION","TARGETED VICTORY LLC","1863375","N","SE24.33395","202501149740174583","14-JAN-25","2026","","13-JAN-25"
"H6FL01390","PATRONIS, JIMMY","C00687103","Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action","S","FL","01","H","REPUBLICAN PARTY","7525","","130799.87","S","MAILER PRODUCTION","PRESSTIGE PRINTING","1863889","N","SE24.33399","202501169740191896","16-JAN-25","2026","","15-JAN-25"
"H6FL01390","PATRONIS, JIMMY","C00687103","Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action","S","FL","01","H","REPUBLICAN PARTY","21727.57","15-JAN-25","130799.87","S","MAILER POSTAGE","UNITED STATES POSTAL SERVICE","1863889","N","SE24.33400","202501169740191896","16-JAN-25","2026","","15-JAN-25"
"H6FL01390","PATRONIS, JIMMY","C00687103","Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action","S","FL","01","H","REPUBLICAN PARTY","1404.3","16-JAN-25","133962.47","S","MAILER POSTAGE","UNITED STATES POSTAL SERVICE","1864158","N","SE24.33425","202501179747626204","17-JAN-25","2026","","16-JAN-25"
"H6FL01390","PATRONIS, JIMMY","C00687103","Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action","S","FL","01","H","REPUBLICAN PARTY","1758.3","","133962.47","S","MAILER PRODUCTION","PRESSTIGE PRINTING","1864158","N","SE24.33424","202501179747626204","17-JAN-25","2026","","16-JAN-25"
